---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
SRTF     	     1	          0.06	            0.063	     0.996	    0.06	         0.063	      0
SRTF     	     2	          0.06	            0.064	      2.02	   0.122	         0.128	      0
SRTF     	     3	          0.06	            0.065	     2.998	   0.179	         0.188	      0
SRTF     	     4	          0.06	            0.068	     3.978	   0.238	         0.267	      0
SRTF     	     5	          0.06	            0.073	     4.962	   0.305	          0.35	      0
SRTF     	     6	          0.06	            0.075	     6.008	   0.361	         0.429	      0
SRTF     	     7	          0.06	             0.08	     7.038	   0.427	         0.564	      0
SRTF     	     8	          0.06	            0.084	     7.995	   0.479	         0.686	      0
SRTF     	     9	          0.06	            0.092	     9.105	   0.554	         0.837	      0
SRTF     	    10	          0.06	            0.097	     9.948	   0.602	         0.968	      0
SRTF     	    11	          0.06	            0.103	    11.029	   0.662	         1.135	      0
SRTF     	    12	          0.06	             0.12	     11.97	   0.719	          1.46	      0
SRTF     	    13	          0.06	            0.127	    12.933	   0.771	         1.649	      0
SRTF     	    14	          0.06	            0.145	    13.798	   0.823	         1.993	      0
SRTF     	    15	          0.06	            0.199	    15.023	   0.897	         2.972	      0
SRTF     	    16	          0.06	            0.439	    16.049	   0.956	         7.096	      0
SRTF     	    17	          0.06	            0.565	    16.908	   0.996	        11.497	      0
SRTF     	    18	          0.06	            0.768	    17.558	     1.0	        54.255	      0
SRTF     	    19	          0.06	            0.577	    18.252	   0.999	       118.958	      0
SRTF     	    20	          0.06	              0.9	    19.453	     1.0	       256.794	      0
SRTF     	    21	          0.06	             0.59	    19.823	   0.999	        240.37	      0
SRTF     	    22	          0.06	            1.175	     20.57	     1.0	       328.676	      0
SRTF     	    23	          0.06	            0.633	    21.063	     1.0	       361.267	      0
SRTF     	    24	          0.06	            1.112	    21.762	     1.0	       513.213	      0
SRTF     	    25	          0.06	            0.655	    22.347	     1.0	       573.287	      0
SRTF     	    26	          0.06	            0.697	    22.948	   0.999	       615.616	      0
SRTF     	    27	          0.06	            0.824	    23.651	     1.0	       708.363	      0
SRTF     	    28	          0.06	            1.248	    23.944	     1.0	        799.54	      0
SRTF     	    29	          0.06	            0.791	    24.783	     1.0	       858.041	      0
SRTF     	    30	          0.06	            0.837	    25.371	     1.0	       933.694	      0
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
HRRN     	     1	          0.06	            0.064	     1.017	   0.062	         0.067	      0
HRRN     	     2	          0.06	            0.067	     2.019	   0.121	         0.128	      0
HRRN     	     3	          0.06	            0.071	     2.988	    0.18	         0.206	      0
HRRN     	     4	          0.06	            0.076	     4.078	   0.243	         0.299	      0
HRRN     	     5	          0.06	            0.085	     4.952	   0.301	          0.44	      0
HRRN     	     6	          0.06	            0.091	     5.991	   0.363	         0.544	      0
HRRN     	     7	          0.06	            0.094	     6.923	   0.409	         0.662	      0
HRRN     	     8	          0.06	            0.108	     7.978	   0.483	         0.875	      0
HRRN     	     9	          0.06	            0.116	     9.026	   0.544	         1.051	      0
HRRN     	    10	          0.06	            0.126	     9.822	   0.585	         1.241	      0
HRRN     	    11	          0.06	            0.135	    11.002	   0.651	          1.47	      0
HRRN     	    12	          0.06	            0.168	    12.083	   0.734	         2.024	      0
HRRN     	    13	          0.06	            0.206	    13.217	   0.795	          2.72	      0
HRRN     	    14	          0.06	            0.229	    13.786	   0.824	         3.132	      0
HRRN     	    15	          0.06	            0.405	    15.107	   0.903	         6.113	      0
HRRN     	    16	          0.06	            0.787	    16.232	   0.968	        12.684	      0
HRRN     	    17	          0.06	            1.741	    16.706	   0.991	        28.887	      0
HRRN     	    18	          0.06	           13.316	    17.349	   0.999	       252.583	      0
HRRN     	    19	          0.06	           17.629	    17.711	     1.0	       351.502	      0
HRRN     	    20	          0.06	           21.807	    18.417	   0.999	       495.401	      0
HRRN     	    21	          0.06	           23.488	    18.915	     1.0	       558.866	      0
HRRN     	    22	          0.06	           28.166	    19.431	     1.0	       740.332	      0
HRRN     	    23	          0.06	           28.378	    19.854	     1.0	       782.852	      0
HRRN     	    24	          0.06	           31.153	    20.118	     1.0	       902.628	      0
HRRN     	    25	          0.06	           32.296	     20.78	     1.0	      1000.106	      0
HRRN     	    26	          0.06	           35.053	    21.305	     1.0	      1171.517	      0
HRRN     	    27	          0.06	           35.247	    21.581	     1.0	      1268.113	      0
HRRN     	    28	          0.06	           35.412	    22.375	     1.0	      1314.115	      0
HRRN     	    29	          0.06	           35.358	    22.486	     1.0	      1377.688	      0
HRRN     	    30	          0.06	           36.186	    22.981	     1.0	       1502.04	      0
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
RR       	     1	          0.06	            0.064	     1.008	   0.061	         0.063	   0.01
RR       	     2	          0.06	            0.068	     1.993	   0.118	         0.134	   0.01
RR       	     3	          0.06	            0.073	     2.993	   0.179	         0.229	   0.01
RR       	     4	          0.06	             0.08	     4.003	   0.244	         0.318	   0.01
RR       	     5	          0.06	            0.082	     5.003	   0.298	         0.392	   0.01
RR       	     6	          0.06	            0.096	     6.048	   0.364	         0.593	   0.01
RR       	     7	          0.06	            0.101	     6.958	   0.415	         0.694	   0.01
RR       	     8	          0.06	            0.115	     7.986	   0.483	         0.915	   0.01
RR       	     9	          0.06	            0.129	     8.908	   0.534	         1.165	   0.01
RR       	    10	          0.06	            0.153	     9.934	   0.602	         1.512	   0.01
RR       	    11	          0.06	            0.156	    10.798	   0.632	         1.694	   0.01
RR       	    12	          0.06	            0.222	    12.174	   0.731	         2.694	   0.01
RR       	    13	          0.06	            0.246	    13.083	   0.784	         3.157	   0.01
RR       	    14	          0.06	            0.375	     13.94	   0.846	         5.184	   0.01
RR       	    15	          0.06	            0.742	    15.262	   0.925	        11.325	   0.01
RR       	    16	          0.06	            1.569	    16.139	   0.962	        25.377	   0.01
RR       	    17	          0.06	            7.129	    16.662	   0.998	       119.165	   0.01
RR       	    18	          0.06	           16.778	    16.725	   0.999	       297.037	   0.01
RR       	    19	          0.06	           35.377	    16.861	     1.0	       670.031	   0.01
RR       	    20	          0.06	           48.459	    16.802	     1.0	       960.319	   0.01
RR       	    21	          0.06	           67.917	    16.641	     1.0	      1450.386	   0.01
RR       	    22	          0.06	           79.379	    16.616	     1.0	      1774.475	   0.01
RR       	    23	          0.06	            85.54	    16.662	     1.0	      1985.601	   0.01
RR       	    24	          0.06	           92.834	    16.576	     1.0	      2229.084	   0.01
RR       	    25	          0.06	          105.027	    16.419	     1.0	       2635.43	   0.01
RR       	    26	          0.06	          108.559	    16.663	     1.0	      2831.858	   0.01
RR       	    27	          0.06	          123.218	    16.512	     1.0	      3358.905	   0.01
RR       	    28	          0.06	          134.492	    16.219	     1.0	      3826.898	   0.01
RR       	    29	          0.06	          122.215	    16.919	     1.0	      3560.243	   0.01
RR       	    30	          0.06	          127.165	    16.858	     1.0	      3809.352	   0.01
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
